page_id	page_name	quality	popularity	authors_interest
11512689	Paul Boiteau	12.6938	0.0	0
7972880	Pitcairnia armata	25.8725	0.0	0
8447414	West Richland	5.5732	0.0	0
5726853	Iemelian Iaroslavski	20.2809	0.0	0
11891984	(11909) 1992 HD5	33.2174	0.0	0
238258	Alfred Dodds	27.9679	4.0	1
5186126	Horseland : Bienvenue au ranch !	13.0948	9.0	0
8476624	Hitoshi Maruono	10.9366	0.0	0
353570	Thierry Escaich	35.4601	11.0	1
10015119	Saison 2016-2017 du Football Bourg-en-Bresse Péronnas 01	61.5002	0.0	1
1039597	Équations fondamentales de la mécanique des milieux continus	27.2403	3.0	0
10088926	Liste des canons antiaériens	30.6957	4.0	1
1557240	Les Amants magnifiques	13.3296	7.0	0
408319	Chartainvilliers	43.9497	1.0	0
6292751	Et voici : Jacques Desrosiers	5.6084	0.0	0
5401994	Monastère des Saints-Archanges à Prizren	34.6751	0.0	0
236671	Badakhchan (Afghanistan)	13.353	4.0	0
4294958	Olivier Giraud	12.6327	0.0	0
10355377	Lamna dubia	23.4073	0.0	0
7924585	Navia saxicola	18.0321	0.0	0
11210718	Scotinella manitou	17.2982	0.0	0
1517212	Yuan Tseh Lee	15.7838	1.0	0
7552765	Septembre 1859	11.459000000000001	1.0	0
11320599	Moscow Zero	9.6051	1.0	0
12127858	Imelda Molokomme	27.3107	0.0	0
844682	Sophie Manéglier	4.5095	0.0	0
1303892	Anouk Ferjac	16.0472	11.0	0
5791820	Championnat du Belize de football 2008-2009	16.7244	0.0	0
12508272	Allemagne au Concours Eurovision de la chanson 1966	31.5865	0.0	1
1177559	Alexander Kuoppala	6.2789	2.0	0
7963185	Okrężnica	15.2872	0.0	0
11105371	Lewis Leary	6.9072	0.0	0
8107806	Politique étrangère du Kazakhstan	37.3628	1.0	0
9427029	Massacre de Bloody Gulch	13.4887	0.0	0
2885962	Adam Joseph Maida	16.2035	0.0	0
4995128	Timár	7.0218	0.0	0
